Sex,Length,Diameter,Height,Weight
1,1.4125,1.125,0.4375,28.61882025
1,1.6125,1.2625,0.4125,37.364641
0,1.3125,1.0,0.325,17.633389
1,1.2875,0.9875,0.35,19.447757
1,1.2375,1.0,0.3875,18.27125275
1,1.625,1.25,0.475,41.503668
0,1.55,1.2375,0.4375,51.199197
1,1.15,0.9375,0.3,13.05494475
0,1.625,1.25,0.35,35.096681
0,1.7875,1.375,0.4375,51.7378375
0,1.5,1.2,0.4125,25.98231675
0,1.325,1.025,0.3875,20.28406725
0,1.35,1.05,0.475,19.43358225
0,1.4,1.125,0.3625,25.344453
0,1.475,1.225,0.4125,34.2178465
1,1.675,1.375,0.475,39.41997975
1,1.5125,1.2,0.375,30.5891105
1,1.65,1.325,0.45,43.02036625
1,0.9375,0.725,0.2,7.994559
0,1.55,1.2,0.4,30.51823675
0,1.5125,1.1875,0.4375,35.50774875
1,1.4125,1.1125,0.3875,23.416687
0,1.4625,1.1625,0.4125,25.0893075
1,1.4125,1.225,0.3875,26.20911275
1,1.25,1.0,0.35,18.75319425
0,0.8875,0.7,0.2375,6.95980225
1,1.45,1.1375,0.4,26.12406425
0,1.625,1.3125,0.4625,45.982889
0,1.15,0.9,0.3375,17.30736975
0,1.3,1.0375,0.4375,21.3471735
0,1.8,1.4625,0.55,54.260943
1,1.4125,1.125,0.4,22.5378525
0,1.4125,1.1375,0.3875,26.52095725
1,1.45,1.0875,0.375,23.643483
1,1.225,0.975,0.3375,16.40018575
0,1.2125,0.9625,0.3125,13.53688625
0,1.65,1.3625,0.4625,37.42134
1,1.325,1.05,0.3375,19.1926115
1,1.3375,1.0375,0.425,24.9192105
0,1.6,1.2125,0.4,28.519597
1,1.375,1.1,0.3375,23.91280325
1,1.1625,0.9,0.3,13.50853675
1,1.125,0.9,0.3125,14.16057525
1,1.175,0.8875,0.325,15.49300175
0,1.2,0.9625,0.3625,18.14368
1,1.3,1.0,0.3,18.46969925
1,1.3625,0.9625,0.375,31.70891575
1,1.325,1.0125,0.325,18.01610725
0,1.7625,1.375,0.525,40.78075575
1,1.175,0.9375,0.2625,14.5432935
0,1.55,1.225,0.4,29.3417325
1,1.2625,0.95,0.325,19.6462035
0,1.3625,1.125,0.375,27.725811
1,1.3875,1.1375,0.45,27.158821
1,1.6625,1.2625,0.4125,38.2434755
1,1.3,1.025,0.4,20.184844
0,1.475,1.1625,0.3375,28.05183025
0,1.1125,0.875,0.3,12.54465375
1,1.45,1.2,0.45,35.42270025
0,1.25,1.0,0.4125,23.3883375
0,1.25,1.0375,0.4125,19.51863075
1,1.3375,1.025,0.325,20.25571775
1,1.5125,1.1875,0.4375,30.504062
1,1.375,1.0375,0.45,33.04134225
1,1.575,1.225,0.425,34.45881725
0,1.1875,0.9125,0.35,17.50581625
0,1.3625,1.125,0.375,24.93338525
1,1.4875,1.15,0.3875,29.63940225
1,1.2375,0.9625,0.325,19.57532975
1,1.6125,1.25,0.375,32.8570705
0,1.5,1.175,0.4375,31.3261975
1,0.925,0.7,0.275,6.53455975
0,1.65,1.2375,0.4875,46.13881125
0,1.5,1.175,0.4,33.849303
0,1.625,1.3125,0.475,42.51007525
0,1.25,1.05,0.3125,17.57669
0,1.075,0.8625,0.2875,8.63242275
1,1.825,1.4375,0.4625,53.28288525
1,1.6,1.275,0.4125,42.127357
1,1.2625,1.025,0.375,17.98775775
1,1.2,0.925,0.325,16.68368075
1,1.0125,0.775,0.3,8.77417025
1,1.375,1.1,0.3125,21.6873675
0,1.575,1.225,0.4,30.900955
0,1.2625,1.0125,0.275,17.7184375
0,1.675,1.25,0.475,43.0628905
0,1.575,1.3125,0.4875,37.23706825
0,1.4625,1.1875,0.3,26.7902775
0,1.6875,1.3125,0.4375,39.745999
1,1.3125,1.0375,0.375,20.28406725
1,1.6375,1.2625,0.4875,40.83745475
0,1.6,1.25,0.4375,36.0889135
1,1.4875,1.125,0.4125,30.6458095
0,1.0,0.725,0.2875,7.92368525
1,1.5375,1.2125,0.4,32.81454625
0,0.875,0.6625,0.225,6.39281225
0,1.5125,1.1125,0.35,27.839209
1,1.4625,1.125,0.4,25.64212275
0,1.5,1.2375,0.4375,36.570855
0,1.6,1.2375,0.4125,37.0527965
1,1.6625,1.2875,0.45,39.3774555
1,1.5875,1.3,0.4125,38.00250475
0,1.1,0.8125,0.2,11.7083435
0,1.425,1.1625,0.3125,24.0687255
0,1.6375,1.2125,0.4875,45.92619
0,1.6875,1.2875,0.375,37.194544
1,1.725,1.375,0.45,47.0318205
1,1.6125,1.3125,0.475,51.27007075
1,1.3625,1.025,0.3125,19.66037825
0,1.5375,1.15,0.425,29.95124675
1,1.3625,1.0625,0.3125,21.772416
0,1.5875,1.2125,0.45,33.43823525
0,1.525,1.125,0.475,30.63163475
1,1.4375,1.15,0.3625,28.19357775
1,1.35,1.1,0.4,30.91512975
1,1.675,1.2625,0.5125,38.68289275
0,1.4625,1.0125,0.375,35.62114675
1,1.4375,1.1625,0.35,27.158821
0,1.4125,1.0875,0.4625,27.82503425
0,1.625,1.2375,0.45,50.8306535
1,1.3625,1.0125,0.4375,27.78251
1,0.9875,0.7875,0.2625,9.96484925
0,1.2625,0.9125,0.2875,14.7700895
0,1.625,1.2375,0.4,34.23202125
0,1.375,1.1,0.3375,24.9192105
1,1.6375,1.2875,0.425,43.2896865
1,1.6125,1.225,0.475,37.03862175
0,1.225,1.1625,0.3125,14.81261375
1,1.375,1.075,0.375,23.81358
1,1.4375,1.1875,0.4,25.3728025
1,1.5625,1.2875,0.4,35.833768
0,1.5,1.175,0.4125,30.0221205
0,1.575,1.325,0.4375,40.07201825
1,1.6625,1.3125,0.525,46.606578
1,0.9625,0.75,0.25,7.72523875
0,1.425,1.15,0.425,25.61377325
1,1.225,0.9125,0.3625,17.98775775
0,1.175,0.9375,0.3,16.45688475
0,1.775,1.35,0.4125,55.5366705
1,1.0375,0.8125,0.2875,9.79475225
1,1.375,1.075,0.35,22.97726975
0,1.575,1.275,0.575,43.6298805
1,1.225,0.9625,0.375,22.29688175
1,1.2125,0.925,0.2875,13.56523575
0,1.5,1.125,0.4875,37.98833
1,1.7125,1.4125,0.4375,46.436481
1,1.6,1.1875,0.475,32.6302745
0,1.5625,1.2375,0.4375,36.67007825
1,1.4,1.1625,0.4,29.24250925
0,1.1875,0.925,0.3125,18.5689225
0,1.4125,1.0625,0.3375,23.00561925
0,1.7875,1.3125,0.5,53.580555
0,1.3125,1.0625,0.3,24.56484175
0,1.5,1.1875,0.3875,32.27590575
1,1.4125,1.2625,0.525,36.18813675
1,1.45,1.1875,0.3875,27.612413
0,1.425,1.075,0.3,30.09299425
0,1.875,1.375,0.45,53.6656035
1,1.1875,0.9375,0.375,15.8473705
1,1.6,1.3,0.4375,35.380176
1,1.6625,1.275,0.4375,39.13648475
0,1.5625,1.225,0.4125,31.65221675
1,1.4875,1.1375,0.4,29.48348
0,1.55,1.1875,0.4625,37.5630875
1,1.5,1.15,0.3625,26.43590875
0,1.325,1.1,0.5125,23.6718325
0,1.525,1.225,0.375,31.2694985
1,1.3,1.0125,0.3125,18.24290325
0,0.975,0.7125,0.2375,7.6827145
0,1.75,1.3625,0.4625,45.74191825
1,1.35,0.9625,0.35,21.70154225
0,1.4375,1.1125,0.425,28.98736375
1,1.025,0.8125,0.2625,10.30504325
0,1.9,1.4375,0.475,51.8512355
1,1.1,0.8625,0.425,11.58077075
0,1.3875,1.1,0.3375,25.58542375
0,1.525,1.2,0.375,34.0194
1,1.55,1.25,0.4375,32.488527
0,1.55,1.25,0.4125,37.0527965
0,1.6375,1.3625,0.475,40.38386275
0,1.45,1.125,0.4375,30.277266
1,1.7875,1.4625,0.575,58.75433875
1,1.4375,1.0875,0.375,29.21415975
1,1.5375,1.1625,0.375,26.1665885
0,1.25,0.9625,0.3375,18.21455375
1,1.2875,1.0,0.425,22.566202
0,1.375,1.15,0.325,20.08562075
0,1.75,1.35,0.5125,49.32813
1,1.3375,1.05,0.325,19.8163005
1,1.35,1.0625,0.4,26.80445225
0,1.725,1.35,0.4625,45.91201525
1,1.6625,1.325,0.45,42.2691045
0,1.4,1.1,0.35,27.5273645
0,1.6125,1.2625,0.4625,41.4753185
0,1.5125,1.1375,0.4,31.79396425
1,1.45,1.0625,0.3875,24.7491135
1,1.45,1.15,0.375,28.22192725
0,1.2375,0.9875,0.3,15.6772735
1,1.3125,1.025,0.3375,20.08562075
0,1.4625,1.125,0.4375,31.96406125
0,1.5625,1.2,0.45,34.6714385
1,1.2375,0.9375,0.375,16.9246515
1,1.5625,1.175,0.3625,27.895908
0,1.5125,1.225,0.45,33.0838665
1,1.3,1.0125,0.3,17.7751365
0,1.5375,1.2625,0.4125,33.0838665
0,1.4375,1.15,0.4125,25.95396725
0,1.55,1.225,0.425,34.31706975
0,1.4625,1.15,0.4625,26.138239
0,1.775,1.3875,0.4875,55.23900075
1,1.6125,1.3125,0.475,41.48949325
0,1.3875,1.1375,0.4,29.97959625
0,1.1625,0.9,0.275,14.04717725
0,1.475,1.1875,0.4125,30.5324115
1,1.375,1.0375,0.3375,23.09066775
0,1.7375,1.425,0.5,57.6345335
0,1.5,1.2375,0.4125,35.19590425
0,1.6625,1.2875,0.4125,39.27823225
0,1.1125,0.8625,0.225,10.75863525
0,1.4375,1.1125,0.35,20.8935815
0,1.5875,1.3,0.4375,36.627554
0,1.625,1.3625,0.4,35.22425375
0,1.55,1.175,0.3375,28.90231525
0,1.5625,1.25,0.325,30.674159
1,1.075,0.8125,0.2875,10.95708175
1,1.425,1.125,0.45,25.741346
0,1.2875,0.95,0.4375,27.11629675
1,1.575,1.1875,0.3875,28.36367475
0,1.4375,1.0875,0.325,28.64716975
0,1.675,1.2875,0.4125,33.26813825
1,1.4375,1.125,0.4,27.71163625
0,1.2875,1.0875,0.3625,24.99008425
0,1.4625,1.1375,0.375,27.9809565
0,1.5,1.1625,0.4125,29.426781
0,1.3625,1.025,0.35,20.8935815
0,1.35,1.0375,0.425,24.9192105
1,1.325,1.05,0.425,23.473386
1,1.4625,1.15,0.4125,29.993771
1,1.525,1.2125,0.45,36.27318525
1,1.6875,1.3875,0.5125,54.5727875
1,1.1,0.85,0.325,11.89261525
1,1.7,1.375,0.5,45.245802
1,1.4125,1.1375,0.375,23.26076475
1,1.325,0.9875,0.3625,21.9708625
1,1.45,1.075,0.425,41.95726
0,1.3,1.05,0.4,21.1203775
1,1.225,0.95,0.3125,15.5638755
0,1.4375,1.0875,0.375,22.8213475
1,1.475,1.15,0.3625,28.08017975
0,1.175,0.925,0.45,14.458245
1,1.6625,1.325,0.4625,39.56172725
0,1.175,0.9375,0.325,14.8267885
1,1.1,0.8875,0.2875,11.7650425
1,1.1875,0.9375,0.3125,16.669506
1,1.4,1.075,0.3125,22.75047375
0,1.5625,1.2875,0.425,37.7331845
0,1.4125,0.975,0.3125,21.092028
0,1.325,1.0125,0.3125,18.46969925
1,1.575,1.2,0.4125,35.76289425
1,1.6,1.25,0.375,34.06192425
1,1.775,1.4125,0.4875,51.5110415
0,1.375,1.025,0.325,24.67823975
1,1.525,1.225,0.425,38.20095125
0,1.3625,1.025,0.35,17.7184375
1,0.925,0.6875,0.25,6.30776375
1,1.4,1.1125,0.4875,27.8108595
0,1.5625,1.2875,0.4125,34.5013415
1,1.4875,1.1625,0.3875,29.086587
0,1.5,1.1625,0.3875,35.777069
1,1.575,1.2375,0.5,40.41221225
1,1.8125,1.45,0.4625,43.1762885
0,1.575,1.175,0.3875,32.10580875
0,1.325,1.0625,0.325,19.901349
1,1.5625,1.2,0.3875,34.11862325
0,1.8,1.425,0.5,51.80871125
0,1.075,0.825,0.2375,9.63883
0,1.6625,1.2875,0.5,35.98969025
0,1.1875,0.8875,0.3,13.60776
0,1.525,1.15,0.4,28.3495
1,1.1875,1.0,0.2875,15.3370795
1,1.7,1.375,0.475,51.2275465
1,1.5875,1.2625,0.425,40.1145425
1,1.25,1.0,0.3125,18.92329125
0,1.725,1.325,0.525,44.8772585
1,1.3125,1.025,0.375,20.071446
1,1.5875,1.2375,0.4875,36.7693015
1,1.375,1.075,0.3875,22.2543575
1,1.6375,1.3125,0.475,38.54114525
0,1.225,0.8875,0.3875,27.8108595
1,1.55,1.1625,0.35,28.6613445
0,1.5,1.15,0.3875,27.20134525
0,1.4875,1.1375,0.4875,37.71900975
1,1.0,0.775,0.2875,9.82310175
0,1.625,1.275,0.4,39.22153325
0,1.55,1.1625,0.3625,25.8263945
0,1.575,1.2125,0.3875,36.230661
1,1.7,1.375,0.525,49.45570275
0,1.1125,0.925,0.3125,14.5999925
1,1.3375,1.05,0.375,20.87940675
1,1.4,1.075,0.375,24.79163775
1,1.875,1.375,0.4875,51.95045875
1,1.7,1.275,0.5,45.57182125
0,1.5,1.125,0.375,24.56484175
1,1.85,1.4125,0.5125,60.0725905
0,1.55,1.175,0.3625,30.80173175
0,1.3375,1.0375,0.3375,22.11261
1,1.6,1.25,0.375,30.34813975
0,1.225,0.9875,0.35,15.5638755
1,1.275,1.0,0.325,16.25843825
1,1.4,1.1,0.3875,27.51318975
0,1.3375,1.05,0.375,19.83047525
0,1.25,1.0,0.3125,19.06503875
0,1.2625,0.95,0.325,18.597272
0,1.6125,1.2125,0.5375,42.921143
0,1.4125,1.1125,0.3625,26.23746225
0,1.4125,1.125,0.3875,30.03629525
1,1.575,1.2875,0.4,37.874932
1,1.325,1.0625,0.325,20.3265915
0,1.6375,1.3,0.425,32.44600275
1,1.625,1.2625,0.4375,34.23202125
0,1.1875,0.925,0.3125,15.2236815
1,1.5,1.1625,0.3875,29.48348
1,1.45,1.1875,0.4125,29.44095575
0,1.4125,1.1625,0.375,31.99241075
0,1.5125,1.1875,0.35,31.68056625
1,1.5125,1.2875,0.425,36.5425055
1,1.275,0.95,0.325,16.556108
1,1.4625,1.125,0.425,24.62154075
0,1.5125,1.225,0.3875,32.6869735
1,1.2125,0.9125,0.3,16.68368075
0,1.425,1.1875,0.4875,29.18581025
0,1.45,1.175,0.4125,29.5118295
1,1.1,0.85,0.3375,11.26892625
1,1.6125,1.3125,0.5,41.0784255
1,1.375,1.075,0.35,23.81358
1,1.1875,0.9,0.3,16.76872925
0,1.3375,1.0125,0.35,23.189891
0,1.625,1.3125,0.4625,42.184056
1,1.6375,1.15,0.4,42.354153
1,0.9375,0.7375,0.275,8.51902475
1,1.45,1.125,0.425,27.51318975
0,1.475,1.125,0.3875,24.777463
0,0.925,0.725,0.225,6.8322295
1,1.775,1.4375,0.4375,44.0834725
0,1.2375,0.95,0.3,13.437663
0,1.5,1.2125,0.4375,35.93299125
0,1.1625,0.875,0.3,14.75591475
1,1.675,1.35,0.4125,42.56677425
1,1.525,1.1625,0.4,30.40483875
1,1.75,1.3125,0.475,46.67745175
0,1.3,0.9625,0.2875,18.9658155
1,1.4,1.1,0.35,26.32251075
0,1.3375,1.025,0.375,22.97726975
0,1.3875,1.05,0.3625,24.64989025
0,1.45,1.075,0.325,22.622901
0,1.675,1.375,0.425,35.3518265
0,1.5125,1.1875,0.4,45.812792
0,1.375,1.0875,0.4,25.684647
0,1.5125,1.1875,0.475,31.90736225
0,1.3375,1.05,0.325,22.83552225
0,1.6125,1.25,0.4,39.16483425
0,1.45,1.1375,0.375,31.581343
0,1.3375,1.0875,0.375,20.5533875
0,1.675,1.35,0.4375,42.013959
0,1.3125,1.0125,0.4,22.452804
1,1.4875,1.1625,0.3625,31.3828965
1,1.55,1.3,0.5625,33.55163325
0,1.25,0.9375,0.325,20.4399895
1,1.6625,1.3,0.4125,47.86813075
0,1.5125,1.175,0.45,32.33260475
0,1.675,1.275,0.4375,43.27551175
0,1.3875,1.125,0.3625,25.9397925
0,1.4625,1.1375,0.35,27.499015
1,1.6375,1.225,0.4,34.132798
0,1.375,1.0625,0.4,27.499015
0,1.4375,1.1,0.4625,29.0582375
1,1.6375,1.325,0.4125,36.38658325
0,1.3375,1.05,0.3125,20.921931
1,1.6375,1.2875,0.45,40.029494
0,1.175,0.925,0.325,14.81261375
1,1.375,1.0625,0.3375,24.13959925
1,1.425,1.075,0.4,22.9914445
0,1.425,1.125,0.4,24.42309425
0,1.575,1.1375,0.375,32.07745925
0,1.325,1.075,0.3375,24.9192105
0,1.5125,1.175,0.4,33.26813825
1,1.3625,1.075,0.35,23.586784
0,1.125,0.8375,0.35,13.11164375
0,1.3125,1.075,0.4125,24.50814275
0,1.4,1.025,0.4125,26.365035
1,1.7375,1.3375,0.4375,38.5836695
0,0.9625,0.7125,0.2625,8.23552975
0,1.3875,1.0125,0.475,39.859397
1,1.5,1.2,0.4125,32.16250775
0,1.55,1.1875,0.4875,38.51279575
1,1.4875,1.1875,0.4,32.33260475
0,1.3375,1.075,0.3875,22.24018275
1,1.725,1.4,0.5375,48.7327905
0,1.7375,1.35,0.4875,47.9390045
1,1.475,1.1625,0.375,28.2644515
0,1.5625,1.2125,0.4,34.40211825
0,1.5375,1.1875,0.3875,30.43318825
1,1.7125,1.3625,0.45,50.121916
0,1.25,1.05,0.3375,19.17843675
1,1.45,1.1,0.45,24.210473
1,1.4625,1.1875,0.4625,27.17299575
0,1.525,1.1875,0.4125,31.638042
1,1.3125,1.05,0.4,21.432222
0,1.2625,0.9625,0.375,18.18620425
1,1.3375,1.15,0.3625,22.32523125
0,0.875,0.6625,0.225,6.42116175
0,1.6125,1.275,0.475,42.14153175
1,1.375,1.0875,0.425,25.060958
1,1.275,0.975,0.3375,17.95940825
1,1.5,1.1875,0.425,30.844256
0,1.675,1.3125,0.425,39.70347475
0,0.8875,0.6625,0.2125,5.6982495
0,1.15,0.9,0.3125,15.5071765
1,1.6125,1.2875,0.375,34.359594
1,1.45,1.1375,0.3,30.43318825
1,1.6375,1.2875,0.3875,37.1094955
0,1.425,1.1375,0.375,26.988724
0,1.675,1.3125,0.45,42.28327925
0,1.5875,1.275,0.3875,32.772022
1,1.1875,0.9125,0.325,13.62193475
0,1.5875,1.2375,0.3875,38.65454325
1,1.5875,1.25,0.475,36.570855
1,1.375,1.175,0.375,25.4295015
0,1.45,1.175,0.4125,28.27862625
0,1.5875,1.2875,0.4,34.23202125
1,1.45,1.1875,0.3375,26.2232875
0,1.7625,1.4,0.55,56.1603595
0,1.3125,0.9875,0.4125,22.169309
1,1.1625,0.875,0.325,14.004653
1,1.4625,1.1375,0.325,24.81998725
1,1.45,1.125,0.4875,23.43086175
0,1.125,0.8375,0.3125,12.68640125
0,1.125,0.825,0.2625,14.04717725
1,1.5375,1.2875,0.425,32.31843
1,1.4125,1.1,0.375,24.4656185
1,1.6625,1.2875,0.4625,38.00250475
0,1.4125,1.1125,0.375,22.566202
1,1.4125,1.0,0.325,19.77377625
0,1.3,1.0625,0.3125,22.396105
0,1.1375,0.875,0.275,12.984071
1,1.8125,1.5,0.5,49.2430815
0,1.375,1.075,0.4,26.35086025
1,1.225,0.9375,0.3375,17.36406875
1,1.425,1.1625,0.45,36.7126025
0,1.675,1.3625,0.5,48.26502375
0,1.6,1.4375,0.4375,41.34774575
0,1.375,1.125,0.3875,22.38193025
1,1.5875,1.25,0.45,37.194544
1,1.125,0.9,0.275,12.6722265
0,1.6375,1.3125,0.4,41.39027
0,1.2375,1.0,0.3875,22.92057075
0,1.7,1.35,0.475,46.0112385
0,1.6125,1.225,0.4375,37.42134
1,1.5625,1.225,0.475,48.23667425
0,1.075,0.775,0.325,18.38465075
1,1.5625,1.2375,0.4,31.51046925
1,1.35,1.1875,0.3875,34.5013415
1,1.2,0.95,0.3,17.236496
0,1.475,1.175,0.3625,26.18076325
0,0.9625,0.75,0.2375,6.80388
0,1.675,1.3,0.475,46.45065575
1,1.4125,1.1125,0.3125,23.54425975
1,1.3625,1.1,0.375,26.86115125
1,1.175,0.9,0.3625,15.2236815
1,1.2875,0.9875,0.3375,14.628342
0,1.35,1.025,0.325,15.87572
1,1.7625,1.425,0.4625,49.9234695
0,1.625,1.3,0.475,38.11590275
1,1.4125,1.1,0.375,27.8675585
1,1.45,1.0625,0.375,23.926978
1,1.15,0.9125,0.3125,13.56523575
0,1.35,1.05,0.3375,22.89222125
0,1.6125,1.25,0.4375,36.457457
0,1.4,1.0625,0.3375,26.69105425
1,1.5625,1.2875,0.3875,32.98464325
0,1.8625,1.4375,0.5,53.410458
0,1.25,0.9625,0.3625,21.58814425
1,1.125,0.8125,0.3375,12.417081
1,1.7875,1.4125,0.45,50.745605
0,1.4875,1.125,0.35,23.756881
0,1.75,1.375,0.5,43.1762885
0,1.3625,1.125,0.375,22.12678475
0,1.6125,1.2125,0.375,34.62891425
0,1.2875,0.9625,0.275,16.40018575
0,1.6375,1.3125,0.45,39.745999
0,1.5,1.1625,0.3875,28.81726675
1,1.6375,1.2875,0.5,42.354153
0,1.6625,1.3125,0.4,38.6403685
0,1.3125,1.0,0.3875,20.0430965
0,1.4375,1.125,0.4125,26.12406425
0,1.25,0.975,0.3375,18.69649525
1,1.475,1.1375,0.4125,32.9137695
1,1.6,1.2625,0.475,36.18813675
1,1.525,1.225,0.425,32.2333815
1,1.8125,1.4,0.4625,50.802304
1,1.35,1.1875,0.3875,26.308336
1,1.4875,1.1375,0.35,25.911443
0,1.625,1.275,0.3875,39.8877465
0,1.1375,0.85,0.3375,13.097469
0,1.1625,0.875,0.35,16.31513725
1,1.625,1.2375,0.4375,34.7848365
1,1.65,1.3,0.5,47.513762
1,1.45,1.15,0.375,31.62386725
1,1.4375,1.125,0.3375,23.48756075
0,1.5125,1.225,0.45,34.7848365
0,1.7125,1.2625,0.475,43.4597835
1,1.1,0.85,0.35,13.664459
1,1.2625,0.9625,0.3375,17.53416575
1,1.0125,0.8125,0.275,10.13494625
0,1.275,0.975,0.3125,18.61144675
0,1.575,1.2625,0.425,30.94347925
0,1.5625,1.1625,0.35,33.8776525
0,1.05,0.8625,0.2625,12.190285
1,1.2625,1.0125,0.4,19.37688325
0,1.25,0.975,0.325,20.0997955
0,1.5,1.25,0.4,28.7747425
0,1.5875,1.2,0.475,41.5887165
1,1.675,1.3625,0.4,43.70075425
0,1.525,1.2125,0.425,36.3157095
1,1.15,1.0625,0.3875,21.148727
1,0.9625,0.7625,0.3125,8.901743
1,1.5875,1.2375,0.4375,34.3312445
1,1.425,1.1,0.3125,24.5223175
0,1.275,1.0,0.35,18.46969925
0,1.05,0.85,0.2875,11.94931425
0,0.975,0.75,0.225,8.66077225
0,1.45,1.1,0.4,23.51591025
0,1.2125,0.975,0.3,16.9813505
0,1.425,1.1125,0.4,28.76056775
1,1.35,1.05,0.325,21.27629975
0,1.5625,1.25,0.4875,38.8104655
0,1.4875,1.1625,0.375,26.0531905
1,1.5,1.2,0.375,29.1716355
1,1.6125,1.375,0.4375,36.61337925
0,1.6125,1.275,0.4875,34.756487
0,1.3875,1.0875,0.35,21.24795025
0,1.275,1.0,0.35,19.57532975
1,1.4875,1.1875,0.425,35.3518265
0,1.45,1.1875,0.375,27.499015
0,1.4125,1.1375,0.4625,26.26581175
1,1.125,0.8625,0.2875,14.061352
0,1.2875,0.875,0.3875,26.15241375
0,1.0375,0.8625,0.3375,10.95708175
1,1.5,1.175,0.375,26.138239
0,1.2375,0.9625,0.3375,20.0997955
1,1.775,1.4125,0.4875,48.94541175
0,1.6125,1.2875,0.4,33.57998275
1,1.5375,1.25,0.4125,33.35318675
0,1.075,0.875,0.275,11.509897
0,1.7,1.3625,0.4625,47.400364
0,1.0,0.75,0.3125,11.8217415
0,1.35,1.0625,0.3,23.1615415
1,1.6375,1.25,0.5125,43.318036
1,1.55,1.275,0.375,41.276872
0,1.0375,0.75,0.25,9.51125725
1,1.25,0.95,0.35,18.01610725
0,1.425,1.125,0.35,22.5378525
0,1.2125,0.975,0.3375,17.4916415
1,1.45,1.15,0.45,29.80949925
1,1.5625,1.3,0.45,38.385223
1,1.275,1.0,0.35,23.09066775
0,1.2125,0.8875,0.3,15.5071765
0,1.475,1.25,0.5,33.6508565
0,1.0125,0.7625,0.2125,7.38504475
0,1.4875,1.2125,0.375,30.71668325
1,1.3625,1.1,0.3375,26.03901575
0,1.6375,1.325,0.4375,35.81959325
0,1.3,0.975,0.3,18.24290325
1,1.625,1.225,0.3875,31.808139
0,1.05,0.8125,0.2875,8.17883075
0,1.4,1.125,0.3875,25.86891875
0,1.5125,1.1375,0.4,31.28367325
1,1.775,1.325,0.4875,53.14113775
1,1.2625,0.9375,0.2875,16.71203025
0,1.625,1.2625,0.425,44.21104525
0,1.625,1.3,0.3875,38.782116
0,1.3875,1.1,0.3625,24.097075
1,1.175,0.875,0.2875,13.8062065
0,1.15,0.9375,0.3375,13.99047825
0,1.2875,1.0,0.3125,27.0737725
0,1.675,1.3125,0.4125,45.60017075
1,1.3,1.0375,0.3625,22.80717275
0,1.0625,0.85,0.3,10.999606
1,1.675,1.2625,0.4375,28.76056775
1,1.55,1.2,0.4,31.53881875
0,1.6,1.2125,0.375,31.127751
0,1.575,1.2125,0.4,35.2384285
1,1.4875,1.0875,0.375,25.51455
0,1.65,1.3375,0.5,50.7739545
0,1.4875,1.125,0.3625,27.1871705
0,1.625,1.2875,0.4375,41.560367
